PROC_REA,count
0410010014,916
0407010386,163
0408020571,127
0412010097,10
0303010100,68
0403080037,10
0409020087,25
0408060670,4
0409010588,35
0407040072,5
0406020574,4000
0303170093,12442
0404010466,223
0401020118,33
0408010193,255
0403070163,144
0404030068,14
0406010935,2408
0409050040,93
0406010757,14
0310010055,1844
0406040214,40
0406010072,18
0408030658,1
0412040050,1
0412030080,10
0404030300,3
0406010340,2
0408040084,563
0416040012,164
0303040025,42
0408050330,486
0406040206,170
0303140097,516
0416050034,146
0416040047,13
0412040166,8053
0403030080,64
0405030177,2812
0416110061,249
0505020068,30
0408030089,22
0406040087,94
0408030461,32
0409040088,19
0408060093,45
0415020042,3
0410010162,6
0403060010,2
0409060216,2173
0416010113,424
0408050012,5540
0416080120,1865
0408020172,512
0404010458,12
0406020523,15
0408030194,1
0412030047,10
0408010215,212
0201010208,209
0409060070,1794
0303060239,215
0303040050,18
0415040027,4198
0404010415,333
0404020089,61
0416030017,132
0404010490,14
0408010118,9
0303180013,1376
0303130083,130
0304080020,7675
0303060301,910
0407020209,659
0406030022,6540
0305020013,11039
0416010210,436
0301090017,358
0408030135,43
0407030158,9
0408030119,149
0308030010,748
0416040187,162
0408050179,114
0406010102,7
0416030165,33
0408050110,19
0303010193,2365
0407040048,53
0408020156,168
0404030297,29
0408040327,12
0303050136,765
0409060046,3852
0303040165,8648
0404020500,1122
0408030291,168
0407030050,29
0416010091,80
0414010329,250
0303010177,6
0406011087,1
0404010040,3
0408030640,6
0505010046,6
0406011486,1
0406010595,1
0406010200,2
0408050381,1
0406010285,1
0407010181,2
0406010404,2
0406011079,1
0404020062,1
0416030033,3
0406020213,4
0406010048,1
0404010636,1
0412040034,3
0411010085,8
0406010013,1
0406010277,1
0406010552,1
0416090117,2
0406040257,2
0403060044,1
0403050162,1
0409010049,3
0412040085,1
0405050011,2
0406010897,1
0409070246,4
0403060079,2
0408050721,13
0404010504,2
0406010110,3
0412040042,1
0413040194,3
0408050411,2
0304010499,13
0408030682,1
0408060522,6
0406030146,2
0409040045,2
0408030550,4
0304010596,4
0408010088,1
0408050640,1
0408060280,1
0406011052,1
0505020084,3
0406011028,2
0408060298,6
0505020076,30
0408030755,2
0409040053,5
0408030208,1
0412010070,2
0416030319,1
0409010260,3
0405030010,1
0404030319,2
0416030360,2
0408040017,10
0412020025,5
0404020011,1
0404010474,1
0406011249,1
0408030178,2
0406010889,1
0404030254,1
0412040204,4
0412050161,1
0409020028,1
0409040207,1
0406010978,1
0408040270,1
0401020134,1
